id,project.id,project.name,treatment,treatment.2,block,site,region,burn.name,site.type,latitude,longitude.x,accuracy.m,elevation.x,accuracy.vertical.m,slope.x,aspect.x,moisture,spp.density,spp.basal.area,bs.prop,stand.age,stand.origin,burn.year,above.biomass.prefire,above.carbon.prefire,above.biomass.combusted,above.carbon.combusted,prefireSOL,mean.resid,burn.depth,propSOL,below.ground.carbon.prefire,below.ground.carbon.combusted,prop.below.C,shrub.bio,tussock.dens,moss.type,sample.date,PFI,Ruggedness,BD_30,BD_100,pH_30,pH_100,Sand_30,Sand_100,Silt_30,Silt_100,Clay_30,Clay_100,SOC_30,SOC_100,tavg_5_8,tmax_5_8,prec_5_8,bio1_MAT,bio2_MDR,bio5_tmax_warm,bio12_MAP,NV,GRSH,DEC,BS,WS,JP,OCON,Ecoregion_LEVEL1,Ecoregion_LEVEL2,Ecoregion_LEVEL3,Ecoregion_NAME_L1,Ecoregion_NAME_L2,Ecoregion_NAME_L3,Ecoregion_Label,Perm_Ice_NUM_CODE,Perm_Ice_COMBO,Perm_Ice_EXTENT,Perm_Ice_CONTENT,Perm_Ice_LANDFORM,longitude.y,burn_year,DOB_lst,Precipitation,Temperature,Relative.humidity,Wind.speed,DC.y,DMC.y,FFMC.y,ISI.y,BUI.y,FWI.y,DSR,Peat,Tree.cover,Distanceunburned,dNBR,TCB,elevation.y,slope.y,aspect.y,TWI,CNA_Tave_5_8,CNA_Tmax_5_8,CNA_Tmin_5_8,CNA_PPT_5_8,CNA_Rad_5_8,CNA_RH_5_8,CNA_CMD_5_8,CNA_MAT,CNA_MAP,CNA_MWMT,CNA_TD,CNA_DD5,CNA_DD18,CNA_NFFD,CNA_FFP,CNA_PAS,CNA_CMD,CNA_MAR,CNA_RH,CNA_SHM,moisture.new
sf.271,NWT.sf.271,NWT_MackWalker,Burn,,NA,NWT_MW_ZF44-16C,NWT_shield,Gameti East,,64.100552,-117.265509,NA,209.177,NA,0,NA,subhygric,0.8,5.337565918,0.916666667,96,,2014,948.149951,474.074976,402.010653,201.005326,47.497857,37.8,9.697856996,0.204174622,14903.33407,2584.461767,0.173415006,NA,NA,,02-Aug-15,0.750763118,2.009597063,1.144333333,1.16875,5.466666667,5.885,46.33333333,46.8,33.91666667,33.975,19.75,19.225,22200,66500,11.12499988,15.72500014,30,-6.024999902,9.183333387,19.79999924,273,0.528333359,0.29833334,0.032641677,0.003020042,0.137671617,0,6.20E-09,3,3.4,3.4.5,Taiga,Taiga Shield,Coppermine River and Tazin Lake Uplands,3.4.5: Coppermine River and Tazin Lake Uplands,6,Dmf,D,m,f,-117.265509,2014,189.4972229,0.000994635,22.24416542,34.95620728,18.2586956,247.50354,65.20717621,90.34114075,11.29697895,78.62685394,30.39078712,11.45571327,FALSE,20.44444444,250,0.65,0.16,212.5555556,16.49572945,220.1538239,8.387068098,11.35,16.7,6.05,29.5,18.825,66,47,-5.2,264,15.7,42.3,932,22,126,102,124,188,9.7,62,106.6,6
sf.272,NWT.sf.272,NWT_MackWalker,Burn,,NA,NWT_MW_ZF44-36A,NWT_shield,Gameti East,,64.104986,-117.23712,NA,232.21,NA,12,0,xeric,0.3,10.12404413,NA,86,,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,03-Aug-15,0.752090156,2.047255278,1.1905,1.24115,5.558333333,5.9625,51,51.2,34,33.45,14.75,14.575,18600,35900,11.22499996,15.87499976,29.5,-5.979166705,9.274999542,19.79999924,271,0,0.373333321,0.113803048,0.301059422,0.211804118,0,1.65E-07,3,3.4,3.4.5,Taiga,Taiga Shield,Coppermine River and Tazin Lake Uplands,3.4.5: Coppermine River and Tazin Lake Uplands,6,Dmf,D,m,f,-117.23712,2014,189.4972229,0.000994635,22.24416542,34.95620728,18.2586956,247.50354,65.20717621,90.34114075,11.29697895,78.62685394,30.39078712,11.45571327,FALSE,47.77777778,1092.140415,0.69,0.19,208.6666667,15.40573215,289.269989,9.678333191,11.325,16.675,6.05,29.5,18.8,66,47,-5.2,263,15.7,42.4,932,22,125,102,124,188,9.7,62,107,1
sf.273,NWT.sf.273,NWT_MackWalker,Burn,,NA,NWT_MW_ZF44-36B,NWT_shield,Gameti East,,64.106542,-117.236711,NA,221.082,NA,0,NA,subhygric,1.066666667,4.978900757,1,86,,2014,1005.432011,502.716005,511.554212,255.777106,45.85040639,37.1,8.750406385,0.190846866,14316.92923,2293.072826,0.16016513,NA,NA,,03-Aug-15,0.752090156,2.047255278,1.1455,1.1932,5.533333333,5.94,51.5,52.05,33.33333333,33.25,15.16666667,14.15,30000,78300,11.22499996,15.87499976,29.5,-5.979166705,9.274999542,19.79999924,271,0.025000002,0.281666679,0.141692832,0.271646411,0.279994001,0,1.64E-07,3,3.4,3.4.5,Taiga,Taiga Shield,Coppermine River and Tazin Lake Uplands,3.4.5: Coppermine River and Tazin Lake Uplands,6,Dmf,D,m,f,-117.236711,2014,189.4972229,0.000994635,22.24416542,34.95620728,18.2586956,247.50354,65.20717621,90.34114075,11.29697895,78.62685394,30.39078712,11.45571327,FALSE,31.44444444,1075.838355,0.44,0.2,206.2222222,14.9817667,199.0076904,9.014444163,11.325,16.675,6.05,29.5,18.8,66,47,-5.2,263,15.7,42.4,932,22,125,102,124,188,9.7,62,107.1,6
sf.274,NWT.sf.274,NWT_MackWalker,Burn,,NA,NWT_MW_ZF44-36C,NWT_shield,Gameti East,,64.106064,-117.240759,NA,223.362,NA,0,NA,mesic-subxeric,1.45,10.03398514,0.942528736,103,,2014,2068.382492,1034.191246,1000.503602,500.251801,13.74585581,7.3,6.445855811,0.468930847,4503.359792,2132.734531,0.473587417,NA,NA,,03-Aug-15,0.752090156,2.047255278,1.130083333,1.162375,5.441666667,5.8425,51.91666667,51.975,33.66666667,33.9,14.75,14.225,18900,37900,11.22499996,15.87499976,29.5,-5.979166705,9.274999542,19.79999924,271,0.025000002,0.281666679,0.141692832,0.271646411,0.279994001,0,1.64E-07,3,3.4,3.4.5,Taiga,Taiga Shield,Coppermine River and Tazin Lake Uplands,3.4.5: Coppermine River and Tazin Lake Uplands,6,Dmf,D,m,f,-117.240759,2014,189.4972229,0.000994635,22.24416542,34.95620728,18.2586956,247.50354,65.20717621,90.34114075,11.29697895,78.62685394,30.39078712,11.45571327,FALSE,56.77777778,892.6540742,0.91,0.15,217.4444444,19.9784832,165.1904144,8.014917641,11.325,16.675,6.025,29.5,18.8,66,47,-5.2,264,15.7,42.4,931,22,125,102,124,188,9.7,62,106.9,3
sf.275,NWT.sf.275,NWT_MackWalker,Burn,,NA,NWT_MW_ZF44-37A,NWT_shield,Gameti East,,64.106213,-117.260777,NA,212.662,NA,15,118,xeric,0.216666667,14.51533616,0.692307691,205,,2014,4950.990074,2475.495037,475.21383,237.606915,12.18542959,1.75,10.43542959,0.856385859,3898.500999,3505.430035,0.89917382,NA,NA,,03-Aug-15,0.752187669,1.987344861,1.17775,1.219525,5.491666667,5.9075,45.75,45.975,32.83333333,33.1,21.41666667,21.125,19100,52400,11.12499988,15.72500014,30,-6.024999902,9.183333387,19.79999924,273,0.05,0.486666679,0.129416686,0.180449084,0.138999979,0,0.014467801,3,3.4,3.4.5,Taiga,Taiga Shield,Coppermine River and Tazin Lake Uplands,3.4.5: Coppermine River and Tazin Lake Uplands,6,Dmf,D,m,f,-117.260777,2014,189.4972229,0.000994635,22.24416542,34.95620728,18.2586956,247.50354,65.20717621,90.34114075,11.29697895,78.62685394,30.39078712,11.45571327,FALSE,24.77777778,250,0.34,0.26,215.1111111,14.81760883,84.79724884,8.419838853,11.35,16.7,6.05,29.5,18.825,66,47,-5.2,264,15.7,42.4,932,22,126,102,124,188,9.7,62,106.7,1
sf.276,NWT.sf.276,NWT_MackWalker,Burn,,NA,NWT_MW_ZF44-37B,NWT_shield,Gameti East,,64.106985,-117.262237,NA,222.44,NA,4,258,mesic-subxeric,0.866666667,27.58527789,1,205,,2014,7885.662433,3942.831217,1666.693079,833.34654,21.05829244,6,15.05829244,0.715076613,6677.351328,4924.128029,0.737437314,NA,NA,,03-Aug-15,0.751850724,1.954319715,1.17775,1.219525,5.491666667,5.9075,45.75,45.975,32.83333333,33.1,21.41666667,21.125,19100,52400,11.12499988,15.72500014,30,-6.024999902,9.183333387,19.79999924,273,0.05,0.486666679,0.129416686,0.180449084,0.138999979,0,0.014467801,3,3.4,3.4.5,Taiga,Taiga Shield,Coppermine River and Tazin Lake Uplands,3.4.5: Coppermine River and Tazin Lake Uplands,6,Dmf,D,m,f,-117.262237,2014,189.4972229,0.000994635,22.24416542,34.95620728,18.2586956,247.50354,65.20717621,90.34114075,11.29697895,78.62685394,30.39078712,11.45571327,FALSE,40.88888889,250,0.61,0.22,215.7777778,12.56429958,133.1186981,8.878914992,11.35,16.7,6.05,29.5,18.825,66,47,-5.2,264,15.7,42.4,932,22,125,102,124,188,9.7,62,106.7,3
sf.277,NWT.sf.277,NWT_MackWalker,Burn,,NA,NWT_MW_ZF44-37C,NWT_shield,Gameti East,,64.107154,-117.25982,NA,217.054,NA,0,NA,subhygric,0.516666667,8.644092186,0.806451613,205,,2014,2057.128975,1028.564488,509.170192,254.585096,52.61287923,43.8,8.812879226,0.167504219,33335.15407,2314.231243,0.069423145,NA,NA,,03-Aug-15,0.752187669,1.987344861,1.174416667,1.214225,5.475,5.8325,47,47,32,32.2,21.41666667,21.125,23000,63500,11.12499988,15.72500014,30,-6.024999902,9.183333387,19.79999924,273,0.05,0.486666679,0.129416686,0.180449084,0.138999979,0,0.014467801,3,3.4,3.4.5,Taiga,Taiga Shield,Coppermine River and Tazin Lake Uplands,3.4.5: Coppermine River and Tazin Lake Uplands,6,Dmf,D,m,f,-117.25982,2014,189.4972229,0.000994635,22.24416542,34.95620728,18.2586956,247.50354,65.20717621,90.34114075,11.29697895,78.62685394,30.39078712,11.45571327,FALSE,39,250,0.58,0.18,199.5555556,19.79981804,183.0779877,10.95464603,11.35,16.7,6.075,29.5,18.825,66,47,-5.1,263,15.7,42.4,934,22,126,102,124,188,9.7,62,107.1,6
sf.278,NWT.sf.278,NWT_MackWalker,Burn,,NA,NWT_MW_ZF44-51A,NWT_shield,Gameti East,,64.159773,-117.18685,NA,247.369,NA,0,NA,subxeric,0.4,6.018767926,NA,35,,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,02-Aug-15,0.781329155,2.020520926,1.005,1.00905,5.341666667,5.7575,39.25,40.175,37.58333333,37.675,23.16666667,22.15,22900,56800,11.19999987,15.82499981,30.25,-6.05833347,9.21666687,19.79999924,278,0.053333335,0.666666641,0,0.139999984,0.139999984,0,2.24E-07,3,3.4,3.4.5,Taiga,Taiga Shield,Coppermine River and Tazin Lake Uplands,3.4.5: Coppermine River and Tazin Lake Uplands,6,Dmf,D,m,f,-117.18685,2014,203.9085388,0.069645651,22.49355507,53.37573242,7.598301888,338.313385,50.1636467,88.53070068,5.092183113,73.19477844,16.62621498,3.938883781,FALSE,40.77777778,250,0.59,0.22,222.5555556,14.98839951,226.9592743,11.45236732,11.2,16.5,5.925,29.5,18.825,66,46.25,-5.3,263,15.6,42.4,915,21,125,101,124,185,9.8,62,105.9,2
sf.279,NWT.sf.279,NWT_MackWalker,Burn,,NA,NWT_MW_ZF44-51B,NWT_shield,Gameti East,,64.159395,-117.183239,NA,251.438,NA,0,NA,xeric,0.416666667,14.59557767,NA,81,,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,02-Aug-15,0.793816507,2.048754215,1.01875,1.018375,5.45,5.845,43.25,43.275,39.75,39.375,17,17.15,21300,52800,11.19999975,15.80000019,30.5,-6.041666585,9.200000291,19.79999924,279,0.21833334,0.453333321,0,0.328333282,0,0,0,3,3.4,3.4.5,Taiga,Taiga Shield,Coppermine River and Tazin Lake Uplands,3.4.5: Coppermine River and Tazin Lake Uplands,6,Dmf,D,m,f,-117.183239,2014,203.9085388,0.069645651,22.49355507,53.37573242,7.598301888,338.313385,50.1636467,88.53070068,5.092183113,73.19477844,16.62621498,3.938883781,FALSE,25.77777778,280.0695849,0.35,0.28,235.5555556,23.1617794,123.5261536,8.821539418,11.175,16.425,5.875,29.5,18.85,66.25,46,-5.4,264,15.6,42.3,908,20,124,101,124,184,9.8,62,105.1,1
sf.28,NWT.sf.28,NWT_MackWalker,Control,,NA,NWT_MW_CG2-22A,NWT_plains,Unburned,,62.24427,-116.3501,NA,NA,NA,0,NA,subxeric,0.55,28.70983716,NA,NA,,unburned,NA,NA,NA,NA,NA,9.15,NA,NA,NA,NA,#VALUE!,NA,NA,,16-Jun-16,0.456171632,0,1.141666667,1.28655,6.125,6.6575,54.16666667,54.75,26.16666667,25.35,19.66666667,19.7,14400,39800,12.27499998,17.45000029,31.25,-4.216666563,10.26666694,20.20000076,284,0,0.038333333,0.121581213,0.189933385,0.218816875,0.255464426,0.175870998,3,3.3,3.3.1,Taiga,Taiga Plains,Great Bear Plains,3.3.1: Great Bear Plains,10,Dlf,D,l,f,-116.3501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,54.11111111,NA,NA,NA,241.5555556,14.96440411,227.1637726,8.969138261,12.05,17.6,6.55,32.75,19.175,65,48.75,-4.2,293,16.4,42.1,1017,31,129,102,135,195,10.2,61,100.7,2
